host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Brigitte,Ward 57,-33.94762,18.47599,Entire home/apt,650.0,3,75,2023-12-23,0.58,1,306,6,Home,Cape Town,4.81,1.0,1.0,1.0
Dirk,Ward 23,-33.80001,18.46063,Entire home/apt,4029.0,2,45,2023-12-03,0.37,3,294,6,Home,Cape Town,4.82,3.0,4.0,3.0
Linda,Ward 23,-33.78826,18.4594,Entire home/apt,2000.0,4,0,,,4,354,0,Rental unit,Cape Town,,3.0,5.0,2.0
Georg,Ward 4,-33.858356,18.490376,Private room,2377.0,2,7,2022-06-16,0.05,6,83,0,Rental unit,Cape Town,5.0,1.0,2.0,1.0
Alexa,Ward 115,-33.91115,18.41235,Entire home/apt,2500.0,14,2,2016-04-15,0.02,1,365,0,Rental unit,Cape Town,,1.0,1.0,1.0
Chris+Alison,Ward 71,-34.03672,18.43006,Entire home/apt,2000.0,2,11,2022-01-17,0.08,3,0,0,Guesthouse,Cape Town,5.0,2.0,4.0,1.0
Ian,Ward 112,-33.83074,18.63142,Entire home/apt,650.0,3,0,,,1,0,0,Guest suite,Cape Town,,2.0,2.0,1.0
Jean,Ward 115,-33.92876,18.42247,Entire home/apt,690.0,30,23,2022-08-24,0.14,1,301,0,Rental unit,Cape Town,4.36,1.0,1.0,1.0
Kevin,Ward 54,-33.9659,18.37724,Entire home/apt,111607.0,4,2,2023-03-01,0.03,5,264,1,Villa,Cape Town,,6.0,6.0,6.0
Cheryl,Ward 59,-33.99612,18.46563,Entire home/apt,1279.0,2,15,2023-10-22,0.13,3,107,1,Guesthouse,Cape Town,5.0,1.0,1.0,1.0
Abe,Ward 2,-33.89034,18.58852,Private room,1091.0,7,0,,,1,0,0,Home,Cape Town,,1.0,4.0,2.0
Beverley,Ward 59,-33.97918,18.45549,Entire home/apt,700.0,2,113,2023-12-14,0.78,5,292,22,Guest suite,Cape Town,4.95,1.0,1.0,1.0
Ingrid,Ward 77,-33.92674,18.40597,Entire home/apt,1400.0,1,6,2023-03-29,0.07,1,36,3,Rental unit,Cape Town,5.0,2.0,2.0,1.0
Cherry,Ward 103,-33.84229,18.67832,Private room,3699.0,2,0,,,1,0,0,Rental unit,Cape Town,,1.0,3.0,1.0
